Brewery ID,Brewer Name,City,State,Zip,Lat,Long
895,Napa Valley Ale Works,,,,,
896,Independent Breweries Ltd,,,,,
899,Baltimore Brewing Company,,,,,
901,High Street Brewery & Cafe (McMenamins),,,,,
903,Gettysbrew Restaurant & Brewery,,,,,
905,Estes Park Brewery,,,,,
907,Dillon Dam Brewery,,,,,
908,Macedonian Thrace Brewery,,,,,
910,Thirsty Bear Brewing Company,,,,,
911,Klosterbrauerei Andechs,,,,,
914,Lewis & Clark Brewing Company,,,,,
917,La Zaragozana S.A.,,,,,
918,Hops Grillhouse & Brewery,,,,,
920,Mahou S.A.,,,,,
922,Brouwerij der St. Benedictusabdij de Achelse,,,,,
923,Ska Brewing Co.,,,,,
930,Landwehr-Bräu - Privatbrauerei Wörner,,,,,
931,Pacific Rim Brewing Co.,,,,,
932,Hale's Ales Brewery & Pub,,,,,
934,Topvar Brewery,,,,,
935,Darwin Brewery Ltd.,,,,,
936,No-Li Brewhouse,,,,,
939,Cross Plains Beer Company,,,,,
940,Dogwood Brewing Company,,,,,
942,Berliner Bürgerbräu GmbH,,,,,
943,Smoky Mountain Brewery & Restaurant,,,,,
945,Brasserie Belle-Vue,,,,,
948,Waimea Brewing Company,,,,,
949,Stone Arch Brewpub,,,,,
952,Great Dane Pub & Brewing Company (Downtown),,,,,
954,Thisted Bryghus,,,,,
955,Rockslide Brewery & Pub,,,,,
958,Red Star Brewery & Grill,,,,,
960,Browar Dojlidy S.A.,,,,,
961,Privat Brauerei Schmucker Ober-Mossau KG,,,,,
969,Zea Rotisserie & Brewery,,,,,
971,Crescent City Brewhouse,,,,,
978,Black Diamond Brewing Co.,,,,,
983,E & O Trading Company,,,,,
987,SandLot Brewery @ Coors Field,,,,,
995,Kawartha Lakes Brewing Company Ltd.,,,,,
996,Valhalla Microbrewery & Restaurant,,,,,
997,The Brewer's Art,,,,,
999,Montana Brewing Company,,,,,
1000,Brewer's Alley Restaurant & Brewery,,,,,
1001,Firehouse Brewing Co.,,,,,
1004,Townsville Brewing Co.,,,,,
1012,Bonaventure Brewing,,,,,
1013,Brewski Brewing Company,,,,,
1015,Red Car Brewery and Restaurant,,,,,
1032,Five Seasons Prado,,,,,
1033,Max Lager's American Grill & Brewery,,,,,
1037,Barley's Brewing Company,,,,,
1047,Typhoon Restaurant & Brewery,,,,,
1060,Hazel Dell Brewpub,,,,,
1065,Shipyard Brewery & Brewport Pub,,,,,
1068,Brauerei Gilde,,,,,
1074,Oregon Trail Brewery,,,,,
1075,Caldera Brewing Company,,,,,
1088,Mad Crab Restaurant and Brewery,,,,,
1089,Rock Bottom Restaurant and Brewery,,,,,
1090,Rocky River Brewing,,,,,
1092,"Kelly's Caribbean Bar, Grill & Brewery",,,,,
1095,Hops Grillhouse & Brewery,,,,,
1103,Nimbus Brewing Company,,,,,
1106,Grizzly Peak Brewing Company,,,,,
1108,"Inveralmond Brewery Ltd., The",,,,,
1112,Little Apple Brewing Company,,,,,
1113,Brasserie De La Soif,,,,,
1114,Bullfrog Brewery,,,,,
1115,Two Rows Restaurant & Brewery,,,,,
1125,Yellowstone Valley Brewing Co.,,,,,
1127,Buckhead Brewery and Grill,,,,,
1131,Park Tavern,,,,,
1133,Capitol City Brewing,,,,,
1135,"Franklin's Restaurant, Brewery & General Store",,,,,
1141,Brasserie Dieu Du Ciel,,,,,
1143,La Taverne Du Sergeant-Recruteur,,,,,
1144,Le Cheval Blanc,,,,,
1149,Harrison's Brewery and Restaurant,,,,,
1155,Blimp City Brewing,,,,,
1161,Privatbrauerei Christian Fiedler,,,,,
1163,Mohegan Cafe and Brewery,,,,,
1168,Barley John's Brew Pub,,,,,
1170,Upland Brewing Company,,,,,
1175,Sherlock's Home,,,,,
1177,Minneapolis Town Hall Brewery,,,,,
1178,Great Waters Brewing,,,,,
1181,Market Street Brewing Co. and Restaurant,,,,,
1183,Southend Brewery & Smokehouse,,,,,
1193,0,,,,,
1195,Pivovar Zlaty Bazant a.s.,,,,,
1196,"Great Beer Company, The",,,,,
1199,Founders Brewing Company,,,,,
1251,Woodstock Inn Brewery,,,,,
1252,Cervecería y Maltería Quilmes / Grupo Bemberg,,,,,
1254,Browerij Nacional Balashi,,,,,
1264,TBonz Gill & Grill,,,,,
1270,Red Bell Brewery & Pub,,,,,
1273,Alaus Darykla Kalnapilis,,,,,
1274,Cerveza De Cuba,,,,,
1276,Rocky River Brewery & Grille,,,,,
1286,Sioux Falls Brewing Co.,,,,,
1289,The Ship Inn,,,,,
1291,Motor City Brewing Works,,,,,
1293,"Great Grains Brewery, Inc.",,,,,
1296,Magnotta Brewery,,,,,
1297,Grand Rapids Brewing Co,,,,,
1299,Mobjack Bay Brewing Company,,,,,
1300,Castle Brewing (Kenya) Ltd,,,,,
1303,Jennings Brothers PLC,,,,,
1304,Pelican Pub & Brewery,,,,,
1306,"Badger Brewery, Hall and Woodhouse",,,,,
1308,Blue Collar Brewing Co.,,,,,
1310,"Felinfoel Brewery Company, Ltd.",,,,,
1311,Celtic Bayou,,,,,
1314,Port Washington Brewing Co.,,,,,
1315,Klosterbrauerei Weltenburg,,,,,
1318,Artisan's Brewery & Italian Grill,,,,,
1321,Wig And Pen,,,,,
1329,Bank Top Brewery,,,,,
1332,Simonds Farsons Cisk Plc.,,,,,
1333,"St. Croix Brewing Company, LLC",,,,,
1334,Blind Tiger Brewery & Restaurant,,,,,
1335,Tun Tavern,,,,,
1340,Gaslight Brewery & Restaurant,,,,,
1341,J.J. Bitting Brewing Company,,,,,
1343,Library Sports Grille & Brewery,,,,,
1349,AS Tartu Õlletehas,,,,,
1352,Wagner Brau,,,,,
1353,Forschungsbrauerei,,,,,
1357,Weissbierbrauerei Hopf,,,,,
1358,Especialidades Cerveceras S.A. de C.V.,,,,,
1369,Vena Brewery,,,,,
1374,Heineken St.Petersburg Brewery Ltd.,,,,,
1375,Bavaria Brewery,,,,,
1381,Amstar,,,,,
1382,Aldaris,,,,,
1384,Afanasy Pivo (Brau Service),,,,,
1385,Hood Canal Brewing,,,,,
1386,Harmon Restaurant & Brewery,,,,,
1387,Port Townsend Brewing Company,,,,,
1388,Brauerei Forst AG,,,,,
1389,Copper Canyon Brewery,,,,,
1391,Issaquah Brewhouse,,,,,
1394,Skagit River Brewery,,,,,
1396,Snipes Mountain Microbrewery & Restaurant,,,,,
1397,Scuttlebutt Brewing Company,,,,,
1398,Empire Brewing Company,,,,,
1399,West Yorkshire Brewery,,,,,
1401,Berliner Kindl Brauerei,,,,,
1411,Borinquen Grill & Brewing Company,,,,,
1412,Red Rock Brewing Company,,,,,
1413,Desert Edge Brewery,,,,,
1415,Marmot Mesa Brewery & Ale House,,,,,
1416,Uinta Brewing Company,,,,,
1417,Black Sheep Brewery PLC,,,,,
1423,Hyde Park Brewing Company,,,,,
1425,Union De Cervecerias Peruanas Backus y Johnston,,,,,
1427,Bahus Brewery,,,,,
1429,Barnaul Brewery,,,,,
1431,Dednovo Brewery,,,,,
1435,Tuborgs Bryggerier A/S,,,,,
1446,Market Cross Pub & Brewery,,,,,
1454,Broad Ripple Brew Pub,,,,,
1455,Ram Restaurant & Brewery,,,,,
1457,Arbor Brewing Company,,,,,
1463,Harboes Bryggeri A/S,,,,,
1466,Streichs Brewing Co.,,,,,
1467,Micro-brasserie Saint-Arnould,,,,,
1471,Dark Horse Brewing Company,,,,,
1472,Hite Brewery Company LTD,,,,,
1474,Barrel House Brewing Company,,,,,
1475,Maumee Bay Brewing Company,,,,,
1477,Great Northern Brewing Co. / Black Star Draught House,,,,,
1479,J. Boag & Son Brewing,,,,,
1482,The Seven Barrel Brewery,,,,,
1485,"Eddie McStiff's Restaurant, Brew Pub & Bar",,,,,
1487,Accra Brewery Limited,,,,,
1489,Královský Pivovar Krušovice a.s.,,,,,
1490,La Brasserie Seigneriale,,,,,
